pi_source	item	verdict	ri_location	detail
packages/agent/src/harness/compaction/compaction.ts:555	prompt selection on previousSummary + customInstructions truthiness	DRIFT	crates/ri-agent-core/src/harness/compaction.rs:1363-1377	pi treats empty string "" as absent (falsy): previousSummary="" -> SUMMARIZATION_PROMPT, no <previous-summary> block; customInstructions="" -> no "Additional focus:". ri keys off Option: Some("") -> UPDATE_SUMMARIZATION_PROMPT + empty <previous-summary>\n\n</previous-summary> block / "\n\nAdditional focus: " with nothing after. Same edge in branch summary (branch-summarization.ts:228-234 vs compaction.rs:853-861). Only triggers if callers pass Some("")
packages/agent/src/harness/compaction/compaction.ts:556-557	"\n\nAdditional focus: {customInstructions}" append text	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1368-1371	identical text and position (after base prompt)
packages/agent/src/harness/compaction/compaction.ts:561-565	summary prompt wrapper <conversation>...</conversation> + optional <previous-summary> block	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1372-1379	"<conversation>\n{}\n</conversation>\n\n" + "<previous-summary>\n{}\n</previous-summary>\n\n" + base prompt; identical
packages/agent/src/harness/compaction/compaction.ts:583	summarization request uses SUMMARIZATION_SYSTEM_PROMPT as system prompt	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1381-1390	single user message with prompt text, same system prompt
packages/agent/src/harness/compaction/compaction.ts:703-716	TURN_PREFIX_SUMMARIZATION_PROMPT	MATCH	crates/ri-agent-core/src/harness/compaction.rs:29	byte-identical (440 bytes)
packages/agent/src/harness/compaction/compaction.ts:831	turn-prefix prompt wrapper	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1358-1361	"<conversation>\n{}\n</conversation>\n\n" + TURN_PREFIX prompt
packages/agent/src/harness/compaction/compaction.ts:751-752	"No prior history." default history text	MATCH	crates/ri-agent-core/src/harness/compaction.rs:649	identical
packages/agent/src/harness/compaction/compaction.ts:781	split-turn summary join "{history}\n\n---\n\n**Turn Context (split turn):**\n\n{prefix}"	MATCH	crates/ri-agent-core/src/harness/compaction.rs:683-689	identical
packages/agent/src/harness/compaction/compaction.ts:803-804	summary += formatFileOperations	MATCH	crates/ri-agent-core/src/harness/compaction.rs:708-713	appended after summary text in both
packages/agent/src/harness/compaction/compaction.ts:612-614,678-681,755-812	retainedTail on CompactionPreparation/CompactionResult (recent messages stored on compaction entry)	MISSING_IN_RI	crates/ri-agent-core/src/harness/compaction.rs:156-181,467-560	pi prepareCompaction collects `retainedTail: AgentMessage[]` and compact() returns it; it is persisted on the compaction entry (session.appendCompaction(..., retainedTail)). ri CompactionPreparation/CompactionResult have no retained_tail field and append_compaction_with_usage (session.rs:1169-1191) cannot store one. Context after compaction is instead rebuilt by scanning entries from first_kept_entry_id - usually text-equivalent, but pi's stored-tail semantics (incl. hook-provided tails) are not reproducible
packages/agent/src/harness/compaction/branch-summarization.ts:168-171	BRANCH_SUMMARY_PREAMBLE	MATCH	crates/ri-agent-core/src/harness/compaction.rs:31	byte-identical (103 bytes)
packages/agent/src/harness/compaction/branch-summarization.ts:173-200	BRANCH_SUMMARY_PROMPT	MATCH	crates/ri-agent-core/src/harness/compaction.rs:33	byte-identical (689 bytes)
packages/agent/src/harness/compaction/branch-summarization.ts:217	branch summary token budget: contextWindow || 128000 fallback	DRIFT	crates/ri-agent-core/src/harness/compaction.rs:839	pi: `const contextWindow = model.contextWindow || 128000; const tokenBudget = contextWindow - reserveTokens;` -> unknown/zero window still caps input at ~111616 tokens. ri: `model.context_window.saturating_sub(reserve_tokens)` with NO 128000 fallback -> context_window 0 gives token_budget 0, and prepare_branch_entries treats budget 0 as UNLIMITED (`token_budget > 0` guard, compaction.rs:804), so the whole branch is fed to the summarizer. Changes model-visible summarization input for models with unset context_window
packages/agent/src/harness/compaction/branch-summarization.ts:223	"No content to summarize" empty-branch summary	MATCH	crates/ri-agent-core/src/harness/compaction.rs:844	identical
packages/agent/src/harness/compaction/branch-summarization.ts:227-235	branch instructions selection (replace / append "Additional focus" / default) + prompt wrapper	MATCH	crates/ri-agent-core/src/harness/compaction.rs:853-863	same three-way selection; replace without custom falls back to BRANCH_SUMMARY_PROMPT in both; wrapper identical
packages/agent/src/harness/compaction/branch-summarization.ts:248	branch summary maxTokens 2048, no reasoning	MATCH	crates/ri-agent-core/src/harness/compaction.rs:874-889	max_tokens 2048, no thinking passed
packages/agent/src/harness/compaction/branch-summarization.ts:264-267	preamble prepended + file operations appended to branch summary	MATCH	crates/ri-agent-core/src/harness/compaction.rs:915-922	BRANCH_SUMMARY_PREAMBLE + text + formatFileOperations
packages/agent/src/harness/compaction/branch-summarization.ts:270	"No summary generated" fallback	MATCH	crates/ri-agent-core/src/harness/compaction.rs:924-929	identical (dead in practice since preamble is non-empty, in both)
packages/agent/src/harness/compaction/utils.ts:62-72	formatFileOperations <read-files>/<modified-files> tags	MATCH	crates/ri-agent-core/src/harness/compaction.rs:989-1008	"\n\n" prefix, sections joined "\n\n", entries joined "\n"; identical
packages/agent/src/harness/compaction/utils.ts:74,84-88	truncateForSummary 2000 chars + "\n\n[... N more characters truncated]"	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1075,1285-1293	identical text/limit; caveat: pi counts UTF-16 units, ri Unicode chars (N and cut point differ only on astral chars)
packages/agent/src/harness/compaction/utils.ts:94-97	serializeConversation "[User]: " (text blocks joined with "")	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1014-1027	contentText(content, "") == collect::<String>(); empty content skipped in both
packages/agent/src/harness/compaction/utils.ts:114-116	"[Assistant thinking]: " thinking joined "\n"	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1050-1055	identical
packages/agent/src/harness/compaction/utils.ts:117-119	"[Assistant]: " text blocks joined "\n" (pushed when any text block exists)	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1056-1058	pi contentText default separator "\n" == ri join("\n"); presence check equivalent even for empty text blocks
packages/agent/src/harness/compaction/utils.ts:104-111,120-122	"[Assistant tool calls]: " name(k=json, ...) joined "; "	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1039-1047,1059-1061	same formatting; serde_json preserve_order enabled (workspace Cargo.toml:21) so arg order matches JS insertion order; JSON.stringify(undefined)->"undefined" unreachable in ri (no undefined Value)
packages/agent/src/harness/compaction/utils.ts:123-127	"[Tool result]: " + truncateForSummary(content, 2000)	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1063-1078	identical; content joined with "" both sides; empty skipped
packages/agent/src/harness/compaction/utils.ts:131	serializeConversation parts joined "\n\n"	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1081	identical
packages/agent/src/harness/compaction/utils.ts:76-82	safeJsonStringify fallback "[unserializable]"	MATCH	crates/ri-agent-core/src/harness/compaction.rs:1281-1283	identical fallback text
packages/agent/src/harness/agent-harness.ts:343	default system prompt "You are a helpful assistant."	MATCH	crates/ri-agent-core/src/harness/system_prompt.rs:3 (used agent_harness.rs:566)	identical
packages/agent/src/harness/agent-harness.ts:53-72	failure assistant message (empty text block, stopReason error/aborted)	MATCH	crates/ri-agent-core/src/agent_loop.rs:262-292	content [text ""], zero usage, error_message set; model-visible text (empty) identical
packages/agent/src/harness/agent-harness.ts:659	skill() sends formatSkillInvocation as prompt text	MATCH	crates/ri-agent-core/src/harness/agent_harness.rs:1788-1791	same invocation text path
packages/agent/src/harness/agent-harness.ts:676	promptFromTemplate() sends formatPromptTemplateInvocation	MATCH	crates/ri-agent-core/src/harness/agent_harness.rs:1820-1823	same invocation text path
packages/agent/src/harness/session/session.ts:70-77	defaultContextEntryTransform: prefer compaction.retainedTail over first_kept scan	MISSING_IN_RI	crates/ri-agent-core/src/harness/session.rs:1656-1692	pi checks `if (compaction.retainedTail)` and rebuilds context as [compaction] + entries AFTER the compaction only (tail comes from the entry); ri has no such branch and always scans entries from first_kept_entry_id. Same root cause as compaction retained_tail row
packages/agent/src/harness/session/session.ts:123-128	compaction entry -> compactionSummary message + ...retainedTail expansion	MISSING_IN_RI	crates/ri-agent-core/src/harness/session.rs:1713-1722	pi emits `[createCompactionSummaryMessage(...), ...(entry.retainedTail ?? [])]`; ri emits only the CompactionSummary message. Same root cause as retained_tail rows; summary-message half matches
packages/agent/src/harness/session/session.ts:129-131	branch_summary entry skipped when summary empty	MATCH	crates/ri-agent-core/src/harness/session.rs:1868-1877	`entry.summary` truthy check == `!summary.is_empty()`
packages/agent/src/harness/utils/truncate.ts:336-344	truncateLine "... [truncated]" suffix (reaches model via grep-style output)	MATCH	crates/ri-agent-core/src/harness/truncate.rs:256-271	identical suffix; pi UTF-16 slice vs ri chars caveat
packages/agent/src/harness/utils/truncate.ts:108-116	formatSize B/KB/MB (used in tool truncation notices)	MATCH	crates/ri-agent-core/src/harness/truncate.rs:58-66	`${bytes}B` / toFixed(1)+"KB" / +"MB" == {bytes}B / {:.1}KB / {:.1}MB
packages/agent/src/harness/utils/shell-output.ts:64-67	temp file name "bash-*.log" (appears in "[Output truncated. Full output: ...]")	MATCH	crates/ri-agent-core/src/harness/shell_output.rs:101,140	same "bash-" prefix / ".log" suffix
(no pi counterpart)	system_prompt_with_context helper (base + "\n\n" + context)	EXTRA_IN_RI	crates/ri-agent-core/src/harness/system_prompt.rs:5-12	no equivalent in pi harness files; currently unused within ri crates (defined only); benign unless wired up
(no pi counterpart)	percent-based should_compact + CompactionSettings{max_context_tokens,threshold_percent}	EXTRA_IN_RI	crates/ri-agent-core/src/harness/compaction.rs:35-48,349-352	legacy ri-only compaction trigger variant alongside the pi-parity should_compact_tokens (349-360); emits no model text
packages/agent/src/agent-loop.ts:396	Truncated-message tool failure text (stopReason "length")	MATCH	crates/ri-agent-core/src/agent_loop.rs:600	Both: 'Tool call "{name}" was not executed: the response hit the output token limit, so its arguments may be truncated. Re-issue the tool call with complete arguments.'
packages/agent/src/agent-loop.ts:611	Tool-not-found error tool result	MATCH	crates/ri-agent-core/src/agent_loop.rs:749	Both: 'Tool {name} not found' (no quotes around name)
packages/agent/src/agent-loop.ts:632	"Operation aborted" error tool result when signal aborted during beforeToolCall	MISSING_IN_RI	-	pi returns tool result text 'Operation aborted' if signal aborted while beforeToolCall hook ran; ri prepare_tool_call has no abort check and never emits this text (ri handles aborts only via stream abort_flag). Only occurrence of 'Operation aborted' in ri is an unrelated file-op error in crates/ri-agent-core/src/harness/env.rs:633
packages/agent/src/agent-loop.ts:639	Default hook-block reason text	MATCH	crates/ri-agent-core/src/agent_loop.rs:800	Both: 'Tool execution was blocked' when block=true and no reason given
packages/agent/src/agent-loop.ts:639	Custom block reason passthrough (beforeResult.reason)	MATCH	crates/ri-agent-core/src/agent_loop.rs:798-801	Both pass hook-provided reason string verbatim into error tool result content
packages/agent/src/agent-loop.ts:644-650	"Operation aborted" error tool result when signal aborted before execution (post-hook check)	MISSING_IN_RI	-	Second pi site returning tool result text 'Operation aborted'; no ri counterpart in agent_loop.rs prepare path
packages/agent/src/agent-loop.ts:657-663	prepareArguments/validation/beforeToolCall exception message passthrough into error tool result	MATCH	crates/ri-agent-core/src/agent_loop.rs:756-763,766-775,805-812	Both put the raw error string (validation error text, preparer error, or hook error) verbatim as tool result text. pi uses error.message or String(error); ri errors are already String / error.to_string()
packages/agent/src/agent-loop.ts:697-703	Tool execute() exception message passthrough into error tool result	MATCH	crates/ri-agent-core/src/agent_loop.rs:955-959	Both convert the tool's thrown/returned error to the tool result text verbatim, isError=true
packages/agent/src/agent-loop.ts:743-746	afterToolCall hook exception message replaces tool result	MATCH	crates/ri-agent-core/src/agent_loop.rs:1001-1005	Both replace the result content with the hook error text and set isError=true (ri additionally breaks out of remaining result hooks; pi has a single hook so equivalent)
packages/agent/src/agent-loop.ts:182-190,259,263	Steering/follow-up queued messages injected verbatim (no wrapper text added)	MATCH	crates/ri-agent-core/src/agent_loop.rs:346-351,465-490	Neither side wraps or alters queued message text before adding to context
packages/agent/src/agent.ts:497-507	Run-failure assistant message model-visible content: single empty text block ""	MATCH	crates/ri-agent-core/src/agent_loop.rs:280-292	Both emit content=[text ""]; errorMessage/error_message is metadata not serialized to providers, so no model-visible text difference
-	ri-only loop cap error 'Agent loop exceeded maximum tool continuation turns: {max_turns}' (default 16)	EXTRA_IN_RI	crates/ri-agent-core/src/agent_loop.rs:373-375	pi has no max-turn cap. Text surfaces as assistant error_message with stop_reason=error (metadata, not tool-result content), but the run truncation itself and the string are ri-only
packages/ai/src/utils/validation.ts:266	validateToolCall not-found error: 'Tool "{name}" not found' (quoted variant; not reached from agent loop, which checks first)	MATCH	crates/ri-llm-provider/src/validation.rs:8	Both: 'Tool "{name}" not found' with double quotes
packages/ai/src/utils/validation.ts:307	Validation failure envelope	MATCH	crates/ri-llm-provider/src/validation.rs:10	Both: 'Validation failed for tool "{name}":\n{errors}\n\nReceived arguments:\n{json}'
packages/ai/src/utils/validation.ts:304	Per-error line shape '  - {path}: {message}' joined by \n	MATCH	crates/ri-llm-provider/src/validation.rs:51-55	Same two-space '  - ' prefix and \n join; but per-keyword {message} texts drift heavily (see rows below)
packages/ai/src/utils/validation.ts:305	Fallback '"Unknown validation error"' when Check fails but Errors() yields none	MISSING_IN_RI	-	ri treats empty error list as success (validation.rs:46-48), so this fallback string has no counterpart
packages/ai/src/utils/validation.ts:307	Received-arguments JSON echo: JSON.stringify(args, null, 2)	MATCH	crates/ri-llm-provider/src/validation.rs:56	serde_json::to_string_pretty = 2-space indent; serde_json preserve_order feature enabled (Cargo.toml:21) so key order matches JS insertion order. Both echo pre-coercion (post-prepareArguments) arguments
packages/ai/src/utils/validation.ts:243-254	Error path formatting: JSON-pointer '/'->'.' with 'root' fallback	MATCH	crates/ri-llm-provider/src/validation.rs:45,173-179	Nested paths ('a.b', 'items.0') and root fallback 'root' agree; EXCEPT required-at-root, see next row
typebox@1.1.38 en_US locale keyword 'required' (via validation.ts:304)	required-property error line	DRIFT	crates/ri-llm-provider/src/validation.rs:118-128	pi emits ONE line per required-check with path = first missing property (root-level: bare name, no 'root.' prefix): '  - a: must have required properties a, b'. ri emits one line PER missing property with 'root.' prefix at top level: '  - root.a: required property is missing' + '  - root.b: required property is missing'. Message wording, path, and aggregation all differ
typebox@1.1.38 en_US locale keyword 'type' (via validation.ts:304)	type-mismatch error message	DRIFT	crates/ri-llm-provider/src/validation.rs:130-137	pi: 'must be string' / union: 'must be either string or number' (join " or "). ri: 'expected string' / union: 'expected string | number' (join " | ")
typebox@1.1.38 en_US locale keyword 'enum' (via validation.ts:304)	enum error message	DRIFT	crates/ri-llm-provider/src/validation.rs:105-116	pi: 'must be equal to one of the allowed values' (values not listed). ri: 'expected one of "a", "b"' (JSON-rendered values listed)
typebox@1.1.38 en_US locale keyword 'const' (via validation.ts:304)	const error message	DRIFT	crates/ri-llm-provider/src/validation.rs:96-103	pi: 'must be equal to constant' (value not shown). ri: 'expected constant {json-value}'
typebox@1.1.38 en_US locale keyword 'anyOf' (via validation.ts:304)	anyOf error message	DRIFT	crates/ri-llm-provider/src/validation.rs:75-82	pi: 'must match a schema in anyOf'. ri: 'did not match any anyOf schema'
typebox@1.1.38 en_US locale keyword 'oneOf' (via validation.ts:304)	oneOf error message	DRIFT	crates/ri-llm-provider/src/validation.rs:84-94	pi: 'must match exactly one schema in oneOf'. ri: 'matched {n} oneOf schemas instead of exactly one'
typebox@1.1.38 en_US locale keyword 'boolean' (via validation.ts:304)	boolean-false schema error	DRIFT	crates/ri-llm-provider/src/validation.rs:62-67	pi: 'schema is false'. ri: 'value is not allowed by schema'
typebox@1.1.38 en_US locale keyword 'minLength' (via validation.ts:304)	minLength error	DRIFT	crates/ri-llm-provider/src/validation.rs:232-236	pi: 'must not have fewer than {n} characters'. ri: 'length must be at least {n}'
typebox@1.1.38 en_US locale keyword 'maxLength' (via validation.ts:304)	maxLength error	DRIFT	crates/ri-llm-provider/src/validation.rs:237-241	pi: 'must not have more than {n} characters'. ri: 'length must be at most {n}'
typebox@1.1.38 en_US locale keyword 'pattern' (via validation.ts:304)	pattern error	DRIFT	crates/ri-llm-provider/src/validation.rs:242-245	pi: 'must match pattern "{pattern}"' (pattern in double quotes). ri: 'must match pattern {pattern}' (no quotes)
typebox@1.1.38 en_US locale keyword 'minimum' (via validation.ts:304)	minimum error	MATCH	crates/ri-llm-provider/src/validation.rs:256-260	Both: 'must be >= {limit}' (typebox comparison param is '>=')
typebox@1.1.38 en_US locale keyword 'maximum' (via validation.ts:304)	maximum error	MATCH	crates/ri-llm-provider/src/validation.rs:261-265	Both: 'must be <= {limit}'
typebox@1.1.38 en_US locale keyword 'exclusiveMinimum' (via validation.ts:304)	exclusiveMinimum error	MATCH	crates/ri-llm-provider/src/validation.rs:266-270	Both: 'must be > {limit}'
typebox@1.1.38 en_US locale keyword 'exclusiveMaximum' (via validation.ts:304)	exclusiveMaximum error	MATCH	crates/ri-llm-provider/src/validation.rs:271-275	Both: 'must be < {limit}'
typebox@1.1.38 en_US locale keyword 'multipleOf' (via validation.ts:304)	multipleOf error	DRIFT	crates/ri-llm-provider/src/validation.rs:276-283	pi: 'must be multiple of {n}'. ri: 'must be a multiple of {n}' (extra 'a')
typebox@1.1.38 en_US locale keyword 'minProperties' (via validation.ts:304)	minProperties error	DRIFT	crates/ri-llm-provider/src/validation.rs:293-299	pi: 'must not have fewer than {n} properties'. ri: 'must contain at least {n} properties'
typebox@1.1.38 en_US locale keyword 'maxProperties' (via validation.ts:304)	maxProperties error	DRIFT	crates/ri-llm-provider/src/validation.rs:300-306	pi: 'must not have more than {n} properties'. ri: 'must contain at most {n} properties'
typebox@1.1.38 en_US locale keyword 'additionalProperties' (via validation.ts:304)	additionalProperties:false error	DRIFT	crates/ri-llm-provider/src/validation.rs:318-331	pi: one error at the OBJECT path: 'must not have additional properties'. ri: one error per offending PROPERTY path: '{obj.key}: unexpected property'
typebox@1.1.38 en_US locale keyword 'minItems' (via validation.ts:304)	minItems error	DRIFT	crates/ri-llm-provider/src/validation.rs:341-345	pi: 'must not have fewer than {n} items'. ri: 'must contain at least {n} items'
typebox@1.1.38 en_US locale keyword 'maxItems' (via validation.ts:304)	maxItems error	DRIFT	crates/ri-llm-provider/src/validation.rs:346-350	pi: 'must not have more than {n} items'. ri: 'must contain at most {n} items'
typebox@1.1.38 en_US locale keyword 'uniqueItems' (via validation.ts:304)	uniqueItems error	DRIFT	crates/ri-llm-provider/src/validation.rs:351-364	pi: one error at the ARRAY path: 'must not have duplicate items'. ri: one error per duplicate INDEX: '{path}.{i}: duplicate item'
typebox@1.1.38 additionalItems handling (via validation.ts:304)	additionalItems:false error	DRIFT	crates/ri-llm-provider/src/validation.rs:370-379	pi/typebox treats false additionalItems as boolean-false subschema at the item path ('schema is false'). ri: '{path}.{i}: unexpected item'
typebox@1.1.38 en_US locale keyword 'format' (via validation.ts:304)	format error 'must match format "{fmt}"'	MISSING_IN_RI	-	ri validation.rs does not implement 'format'; schemas using it validate silently in ri but can error in pi
typebox@1.1.38 en_US locale keyword 'contains' (via validation.ts:304)	contains error 'must contain at least 1 valid item'	MISSING_IN_RI	-	No 'contains' handling in ri validation.rs
typebox@1.1.38 en_US locale keywords 'dependencies'/'dependentRequired' (via validation.ts:304)	dependencies error 'must have properties {a, b} when property {p} is present'	MISSING_IN_RI	-	No dependencies/dependentRequired handling in ri validation.rs
typebox@1.1.38 en_US locale keyword 'if' (via validation.ts:304)	if/then/else error 'must match "{failingKeyword}" schema'	MISSING_IN_RI	-	No if/then/else handling in ri validation.rs
typebox@1.1.38 en_US locale keyword 'not' (via validation.ts:304)	not error 'must not be valid'	MISSING_IN_RI	-	No 'not' handling in ri validation.rs
typebox@1.1.38 en_US locale keyword 'propertyNames' (via validation.ts:304)	propertyNames error 'property names {names} are invalid'	MISSING_IN_RI	-	No propertyNames handling in ri validation.rs
typebox@1.1.38 en_US locale keywords 'unevaluatedItems'/'unevaluatedProperties' (via validation.ts:304)	'must not have unevaluated items' / 'must not have unevaluated properties'	MISSING_IN_RI	-	No unevaluated* handling in ri validation.rs
typebox@1.1.38 en_US locale default case (via validation.ts:304)	'an unknown validation error occurred'	MISSING_IN_RI	-	ri has no unknown-keyword fallback line
-	ri-only invalid-regex validation line 'invalid pattern {pattern}: {regex error}'	EXTRA_IN_RI	crates/ri-llm-provider/src/validation.rs:247-249	pi/typebox has no per-error invalid-regex message in this shape (invalid patterns fail at schema compile time instead)
packages/ai/src/api/transform-messages.ts:12	NON_VISION_USER_IMAGE_PLACEHOLDER "(image omitted: model does not support images)"	MATCH	crates/ri-llm-provider/src/message_transform.rs:7	Identical text; same collapse-consecutive-placeholder logic
packages/ai/src/api/transform-messages.ts:13	NON_VISION_TOOL_IMAGE_PLACEHOLDER "(tool image omitted: model does not support images)"	MATCH	crates/ri-llm-provider/src/message_transform.rs:9	Identical text and logic
packages/ai/src/api/transform-messages.ts:171	Synthetic tool result "No result provided" (isError: true)	MATCH	crates/ri-llm-provider/src/message_transform.rs:222	Identical text; is_error: true; same insertion points (before assistant, before user, at end)
packages/ai/src/api/anthropic-messages.ts:79	Claude Code tool-name list (Read..WebSearch, 17 names, canonical casing)	MATCH	crates/ri-llm-provider/src/anthropic_compat.rs:5	Identical 17-entry list, same order and casing
packages/ai/src/api/anthropic-messages.ts:102	toClaudeCodeName / fromClaudeCodeName case-insensitive mapping	MATCH	crates/ri-llm-provider/src/anthropic_compat.rs:25	Same case-insensitive lookup semantics for outbound (tools/messages) and inbound (stream) names
packages/ai/src/api/anthropic-messages.ts:131	Anthropic tool-result text blocks join "\n" (string form)	MATCH	crates/ri-llm-provider/src/anthropic.rs:1309	Same join("\n") of text parts when no images
packages/ai/src/api/anthropic-messages.ts:158	Anthropic tool result image-only placeholder text block "(see attached image)" (prepended)	MATCH	crates/ri-llm-provider/src/anthropic.rs:1335	Identical text; both insert at index 0 when no text blocks present
packages/ai/src/api/anthropic-messages.ts:597	Redacted thinking placeholder "[Reasoning redacted]" stored as thinking text	MATCH	crates/ri-llm-provider/src/anthropic.rs:332	Identical text; redacted=true; signature holds data. Note (edge, non-text): on replay pi always emits redacted_thinking with data (anthropic-messages.ts:1153); ri drops the block if the signature is empty/missing (anthropic.rs:1156)
